,from,to,confidence,support,lift
0,frozen fish,specialty chocolate,0.049019607843137254,0.0003341575887188398,3.0689556157190907
1,liver loaf,fruit/vegetable juice,0.011787819253438114,0.00040098910646260775,3.52762278978389
2,pickled vegetables,ham,0.03125,0.0005346521419501437,3.4895055970149254
3,roll products ,meat,0.019841269841269844,0.0003341575887188398,3.620547812620984
4,misc. beverages,salt,0.0211864406779661,0.0003341575887188398,3.5619405827461437
5,misc. beverages,spread cheese,0.0211864406779661,0.0003341575887188398,3.170127118644068
6,soups,seasonal products,0.04716981132075471,0.0003341575887188398,14.704205974842766
7,spread cheese,sugar,0.06,0.00040098910646260775,3.3878490566037733
8,butter,bottled beer,0.2,0.0003341575887188398,3.3140642303433
9,whole milk,bottled beer,0.04672897196261682,0.0003341575887188398,3.17820730671198
10,brown bread,canned beer,0.1388888888888889,0.0003341575887188398,4.959891275523733
11,brown bread,sausage,0.2222222222222222,0.00040098910646260775,4.736625514403292
12,butter,soda,0.10869565217391304,0.0003341575887188398,3.0861727580232654
13,canned beer,yogurt,0.4166666666666667,0.0003341575887188398,4.851815823605707
14,frozen vegetables,sausage,0.25,0.0003341575887188398,4.142580287929125
15,whole milk,canned beer,0.5454545454545454,0.00040098910646260775,3.4539299042049785
16,soda,yogurt,0.39999999999999997,0.00040098910646260775,4.657743190661479
17,citrus fruit,yogurt,0.3,0.00040098910646260775,3.4933073929961087
18,coffee,rolls/buns,0.1388888888888889,0.0003341575887188398,3.6782202556538843
19,soda,coffee,0.13513513513513514,0.0003341575887188398,3.578808897392969
20,coffee,sausage,0.2380952380952381,0.0003341575887188398,3.9453145599325
21,sausage,fruit/vegetable juice,0.5,0.0003341575887188398,8.28516057585825
22,margarine,sausage,0.3125,0.0003341575887188398,5.178225359911406
23,yogurt,sausage,0.2058823529411765,0.00046782062420637575,3.4115367077063388
24,sausage,other vegetables,0.2,0.0003341575887188398,3.3140642303433
25,ice cream,rolls/buns,0.5,0.0003341575887188398,4.545261239368165
26,margarine,shopping bags,0.1724137931034483,0.0003341575887188398,3.623353351414181
27,yogurt,margarine,0.18749999999999997,0.00040098910646260775,3.1069352159468435
28,newspapers,sausage,0.1851851851851852,0.0003341575887188398,3.580007656235047
29,yogurt,onions,0.2777777777777778,0.0003341575887188398,3.2345438824038046
30,waffles,sausage,0.05555555555555556,0.0003341575887188398,3.001002807862014
31,soft cheese,yogurt,0.2777777777777778,0.0003341575887188398,3.2345438824038046
32,yogurt,sausage,0.2608695652173913,0.00040098910646260775,3.037658602605312
33,whole milk,soda,0.8333333333333334,0.0003341575887188398,5.276837353646496
34,whole milk,yogurt,0.29411764705882354,0.0003341575887188398,3.4248111696040286
